Volatility 3 Framework 2.27.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output

0x9b837c878000	1	1	0	systemd	0	0	0	0	2025-10-22 15:39:58.000000 UTC	Disabled
0x9b837c87dc00	2	2	0	kthreadd	0	0	0	0	2025-10-22 15:39:58.000000 UTC	Disabled
0x9b837c87ae00	4	4	2	kworker/0:0H	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8b2e00	6	6	2	mm_percpu_wq	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8b4500	7	7	2	ksoftirqd/0	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8b0000	8	8	2	rcu_sched	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8b5c00	9	9	2	rcu_bh	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8b1700	10	10	2	migration/0	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8d5c00	11	11	2	watchdog/0	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8d2e00	12	12	2	cpuhp/0	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8d4500	13	13	2	cpuhp/1	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8d0000	14	14	2	watchdog/1	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8fae00	15	15	2	migration/1	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8fc500	16	16	2	ksoftirqd/1	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c8fdc00	18	18	2	kworker/1:0H	0	0	0	0	2025-10-22 15:39:58.116000 UTC	Disabled
0x9b837c91dc00	19	19	2	kdevtmpfs	0	0	0	0	2025-10-22 15:39:58.120000 UTC	Disabled
0x9b837c919700	20	20	2	netns	0	0	0	0	2025-10-22 15:39:58.124000 UTC	Disabled
0x9b837c91ae00	21	21	2	rcu_tasks_kthre	0	0	0	0	2025-10-22 15:39:58.124000 UTC	Disabled
0x9b837c91c500	22	22	2	kauditd	0	0	0	0	2025-10-22 15:39:58.124000 UTC	Disabled
0x9b837c9e9700	25	25	2	khungtaskd	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837c9eae00	26	26	2	oom_reaper	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837ca14500	27	27	2	writeback	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837ca10000	28	28	2	kcompactd0	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837c9ec500	29	29	2	ksmd	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837c9e8000	30	30	2	khugepaged	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837c9edc00	31	31	2	crypto	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837ca41700	32	32	2	kintegrityd	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837ca15c00	33	33	2	kblockd	0	0	0	0	2025-10-22 15:39:58.128000 UTC	Disabled
0x9b837ca42e00	34	34	2	ata_sff	0	0	0	0	2025-10-22 15:39:58.168000 UTC	Disabled
